evaluator,n_particles,max_iter,w,c1,c2,seed,best_value,total_time,eval_time,update_time,overhead,auc,convergence_iter
vectorized,100,500,0.719,1.0,1.49445,99,6.031803168977585e-17,0.017465,0.00279,0.008641,0.006033,111.501905,23
vectorized,100,500,0.719,1.0,1.49445,123,1.4816729923174056e-15,0.016893,0.002092,0.007975,0.006826,30.403803,62
vectorized,100,500,0.719,1.0,1.49445,456,8.857381736706988e-19,0.022692,0.003626,0.011666,0.0074,17.631129,63
vectorized,100,500,0.719,1.0,1.49445,789,6.197608410964605e-16,0.021395,0.003092,0.010269,0.008034,19.534061,66
vectorized,100,500,0.719,1.0,2.0,42,1.945462559336467e-15,0.028202,0.003549,0.013885,0.010767,49.279657,36
vectorized,100,500,0.719,1.0,2.0,99,2.4420837497634904e-16,0.026352,0.004295,0.012951,0.009106,122.938301,5
vectorized,100,500,0.719,1.0,2.0,123,2.7794162266630286e-16,0.025306,0.003494,0.010716,0.011095,51.778813,66
vectorized,100,500,0.719,1.0,2.0,456,3.3221128724802285e-15,0.027857,0.003074,0.014247,0.010536,9.777755,7
vectorized,100,500,0.719,1.0,2.0,789,3.1528666119028713e-16,0.042912,0.008233,0.021209,0.013471,15.648251,4
vectorized,100,500,0.719,1.49445,1.0,42,2.7580806867085935e-16,0.016098,0.002369,0.00809,0.005639,48.991877,84
vectorized,100,500,0.719,1.49445,1.0,99,2.472762349870386e-20,0.019873,0.003187,0.010766,0.00592,112.90464,17
vectorized,100,500,0.719,1.49445,1.0,123,2.1110305726440644e-17,0.019924,0.003302,0.009699,0.006924,43.561067,7
vectorized,100,500,0.719,1.49445,1.0,456,1.1245151344848402e-15,0.030032,0.004755,0.015333,0.009943,27.046961,76
vectorized,100,500,0.719,1.49445,1.0,789,4.842146844894242e-16,0.029434,0.00632,0.013195,0.009919,17.729014,59
vectorized,100,500,0.719,1.49445,1.49445,42,1.4429146799541336e-15,0.038503,0.005683,0.022058,0.010762,21.598102,25
vectorized,100,500,0.719,1.49445,1.49445,99,1.3394380572547422e-15,0.02452,0.003093,0.013365,0.008062,95.955602,22
vectorized,100,500,0.719,1.49445,1.49445,123,3.2848357741508787e-15,0.027609,0.003985,0.015587,0.008036,39.1427,19
vectorized,100,500,0.719,1.49445,1.49445,456,8.481429652847938e-17,0.040067,0.006204,0.018793,0.01507,14.652127,38
vectorized,100,500,0.719,1.49445,1.49445,789,1.7163550077108535e-15,0.030996,0.00513,0.015845,0.010021,21.667203,98
vectorized,100,500,0.719,1.49445,2.0,42,2.3320696885659345e-16,0.0261,0.004711,0.012531,0.008858,73.90016,87
vectorized,100,500,0.719,1.49445,2.0,99,2.5194011367964045e-14,0.036591,0.00617,0.019521,0.0109,114.195571,21
vectorized,100,500,0.719,1.49445,2.0,123,3.6538666040656465e-15,0.031754,0.004316,0.016743,0.010695,44.89994,6
vectorized,100,500,0.719,1.49445,2.0,456,1.30803909307617e-13,0.0377,0.005291,0.019776,0.012632,48.279773,57
vectorized,100,500,0.719,1.49445,2.0,789,1.6797921789957242e-14,0.04024,0.005466,0.019713,0.015061,25.183882,33
vectorized,100,500,0.719,2.0,1.0,42,4.2393472727225684e-17,0.026773,0.003406,0.013497,0.00987,31.798441,6
vectorized,100,500,0.719,2.0,1.0,99,1.4607378714364923e-14,0.038021,0.005349,0.017931,0.014741,110.09448,93
vectorized,100,500,0.719,2.0,1.0,123,1.1774814401577129e-16,0.043564,0.008073,0.026059,0.009432,35.802574,101
vectorized,100,500,0.719,2.0,1.0,456,4.86417708513023e-16,0.026268,0.003393,0.014607,0.008268,33.153613,79
vectorized,100,500,0.719,2.0,1.0,789,3.220960305122443e-14,0.024831,0.003506,0.013753,0.007573,18.253946,3
vectorized,100,500,0.719,2.0,1.49445,42,1.6011952631121241e-12,0.037857,0.006329,0.018006,0.013521,18.248151,29
vectorized,100,500,0.719,2.0,1.49445,99,1.3956996268663203e-13,0.023179,0.003781,0.011933,0.007465,107.457366,97
vectorized,100,500,0.719,2.0,1.49445,123,7.479562013910631e-16,0.033649,0.00985,0.013852,0.009947,34.71907,11
vectorized,100,500,0.719,2.0,1.49445,456,1.6880391403182772e-15,0.029645,0.004907,0.01516,0.009578,11.72289,7
vectorized,100,500,0.719,2.0,1.49445,789,1.499533828408725e-15,0.024501,0.003801,0.012226,0.008475,22.016208,35
vectorized,100,500,0.719,2.0,2.0,42,2.5164023455758745e-14,0.031893,0.004336,0.016017,0.01154,42.403985,11
vectorized,100,500,0.719,2.0,2.0,99,1.7025014862605176e-13,0.037738,0.006488,0.016197,0.015053,132.192351,89
vectorized,100,500,0.719,2.0,2.0,123,2.3462480775226473e-12,0.032001,0.005305,0.016131,0.010565,112.722431,46
